id1,artigotitle1,id2,artigotitle2
2864,Heterologous prime-boost strategies for COVID-19 vaccines,3992,Interpreting diagnostic tests for SARS-CoV-2
2864,Heterologous prime-boost strategies for COVID-19 vaccines,4964,Profile of specific antibodies to SARS-CoV-2: the first report
2864,Heterologous prime-boost strategies for COVID-19 vaccines,4218,CDC. Interim guidelines for COVID-19 antibody testing
2864,Heterologous prime-boost strategies for COVID-19 vaccines,4968,Longitudinal isolation of potent near-germline SARS-CoV-2-neutralizing antibodies from COVID-19 patients
2864,Heterologous prime-boost strategies for COVID-19 vaccines,3326,Humoral and circulating follicular helper T cell responses in recovered patients with COVID-19
2864,Heterologous prime-boost strategies for COVID-19 vaccines,2149,SARS-CoV-2 specific memory B cells frequency in recovered patient remains stable while antibodies decay over time
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5579,Memory B cells targeting SARS-CoV-2 spike protein and their dependence on CD4+ T cell help
2864,Heterologous prime-boost strategies for COVID-19 vaccines,1743,"A single-blind, randomised, phase II UK multi-Centre study to determine reactogenicity and immunogenicity of heterologous prime/boost COVID-19 vaccine schedules -stage 2"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,176,Mix-and-match COVID vaccines trigger potent immune response
2864,Heterologous prime-boost strategies for COVID-19 vaccines,23,Next-generation vaccine platforms for COVID-19
2864,Heterologous prime-boost strategies for COVID-19 vaccines,2161,Immunization guidelines. Dubai Health Authority Department of Public Health & safety
2864,Heterologous prime-boost strategies for COVID-19 vaccines,4382,Development of a novel platform of virus-like particle (VLP)-based vaccine against COVID-19 by exposing epitopes: an immunoinformatics approach
2864,Heterologous prime-boost strategies for COVID-19 vaccines,4160,"COVID-19 vaccines: comparison of biological, pharmacological characteristics and adverse effects of Pfizer/BioNTech and Moderna vaccines"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5864,DNA vaccines against COVID-19: perspectives and challenges
2864,Heterologous prime-boost strategies for COVID-19 vaccines,3060,The different types of COVID-19 vaccines
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5502,Commonly used adjuvant human vaccines: advantages and side effects
2864,Heterologous prime-boost strategies for COVID-19 vaccines,1877,Comparative safety of vaccine adjuvants: a summary of current evidence and future needs
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5782,"Allergic reactions to current available COVID-19 vaccinations: pathophysiology, causality, and therapeutic considerations"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,165,&#x007E;:text=COVID%2D19%20vaccines%20are%20sa fe
2864,Heterologous prime-boost strategies for COVID-19 vaccines,4948,"Safety and efficacy of the ChAdOx1 nCoV-19 vaccine (AZD1222) against SARS-CoV-2: an interim analysis of four randomised controlled trials in Brazil, South Africa, and the UK"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,1831,Optimism and caution for an inactivated COVID-19 vaccine
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5932,"Safety and immunogenicity of ChAdOx1 nCoV-19 vaccine administered in a primeboost regimen in young and old adults (COV002): a single-blind, randomised, controlled, phase 2/3 trial"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,2802,"Safety and immunogenicity of the ChAdOx1 nCoV-19 vaccine against SARS-CoV-2: a preliminary report of a phase 1/2, single-blind, randomised controlled trial"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,3057,Comparing the COVID-19 vaccines: how are they different
2864,Heterologous prime-boost strategies for COVID-19 vaccines,16,Heterologous ChA-dOx1 nCoV-19/BNT162b2 prime-boost vaccination induces strong humoral responses among health care workers
2864,Heterologous prime-boost strategies for COVID-19 vaccines,438,"reactogenicity, and immunogenicity of homologous and heterologous primeboost immunisation with ChAdOx1-nCoV19 and BNT162b2: a prospective cohort study"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,2594,Cellular immunity predominates over humoral immunity after homologous and heterologous mRNA and vector-based COVID-19 vaccine regimens in solid organ transplant recipients
2864,Heterologous prime-boost strategies for COVID-19 vaccines,763,Heterologous ChAdOx1 nCoV-19 and BNT162b2 prime-boost vaccination elicits potent neutralizing antibody responses and T cell reactivity
2864,Heterologous prime-boost strategies for COVID-19 vaccines,4360,Heterologous ChAdOx1 nCoV-19 and mRNA-1273 vaccination. N Eng
2864,Heterologous prime-boost strategies for COVID-19 vaccines,355,Heterologous ChAdOx1-S/BNT162b2 vaccination: neutralizing antibody response to SARS-CoV-2
2864,Heterologous prime-boost strategies for COVID-19 vaccines,3269,"Immunogenicity and reactogenicity of BNT162b2 booster in ChAdOx1-S-primed participants (CombiVacS): a multicentre, open-label, randomised, controlled, phase 2 trial"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5136,Immune responses against SARS-CoV-2 variants after heterologous and homologous ChAdOx1 nCoV-19/BNT162b2 vaccination
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5570,An immunogenicity report for the comparison between heterologous and homologous prime-boost schedules with ChAdOx1-S and BNT162b2 vaccines
2864,Heterologous prime-boost strategies for COVID-19 vaccines,739,mRNA vaccines enhance neutralizing immunity against SARS-CoV-2 variants in convalescent and ChAdOx1-primed subjects
2864,Heterologous prime-boost strategies for COVID-19 vaccines,1119,Real-world data shows increased reactogenicity in adults after heterologous compared to homologous prime-boost COVID-19 vaccination
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5571,SARS-CoV-2 delta variant neutralisation after heterologous ChAdOx1-S/BNT162b2 vaccination
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5610,"Safety and immunogenicity of heterologous versus homologous prime-boost schedules with an adenoviral vectored and mRNA COVID-19 vaccine (Com-COV): a single-blind, randomised, non-inferiority trial"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,524,Immune response elicited from heterologous SARS-CoV-2 vaccination: Sinovac (CoronaVac) followed by AstraZeneca (Vaxzevria)
2864,Heterologous prime-boost strategies for COVID-19 vaccines,2204,Immunogenicity and reactogenicity of heterologous ChAdOx1 nCoV-19/mRNA vaccination
2864,Heterologous prime-boost strategies for COVID-19 vaccines,3245,Low SARS-CoV-2 infection rates and high vaccine-induced immunity among German healthcare workers at the end of the third wave of the COVID-19 pandemic
2864,Heterologous prime-boost strategies for COVID-19 vaccines,4326,Vaccine effectiveness when combining the ChAdOx1 vaccine as the first dose with an mRNA COVID-19 vaccine as the second dose
2864,Heterologous prime-boost strategies for COVID-19 vaccines,4173,Neutralization of the SARS-CoV-2 Delta variant after heterologous and homologous BNT162b2 or ChAdOx1 nCoV-19 vaccination
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5587,Neutralization of VOCs including Delta one year post COVID-19 or vaccine
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5950,The anti-SARS-CoV-2 immunoglobulin G levels and neutralising capacities against alpha and delta virus variants of concern achieved after initial immunisation with vector vaccine followed by mRNA vaccine boost are comparable to those after double immunisation with mRNA vaccines
2864,Heterologous prime-boost strategies for COVID-19 vaccines,1473,"Two-dose SARS-CoV-2 vaccine effectiveness with mixed schedules and extended dosing intervals: test-negative design studies from British Columbia and Quebec, Canada"
2864,Heterologous prime-boost strategies for COVID-19 vaccines,151,Heterologous prime-boost vaccination with ChAdOx1 nCoV-19 and BNT162b2
2864,Heterologous prime-boost strategies for COVID-19 vaccines,4745,Immunogenicity and safety of a heterologous prime-boost COVID-19 vaccine schedule: ChAdOx1 vaccine Covishield followed by BBV152 Covaxin
2864,Heterologous prime-boost strategies for COVID-19 vaccines,235,Heterologous SARS-CoV-2 booster vaccinations -preliminary report
2864,Heterologous prime-boost strategies for COVID-19 vaccines,2970,Immunogenicity of a third dose viral-vectored COVID-19 vaccine after receiving two-dose inactivated vaccines in healthy adults
2864,Heterologous prime-boost strategies for COVID-19 vaccines,2960,Heterologous prime-boost immunization with CoronaVac and Convidecia
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5577,SARS-CoV-2 specific antibody responses after third CoronaVac or BNT162b2 vaccine following two-dose CoronaVac vaccine regimen
2864,Heterologous prime-boost strategies for COVID-19 vaccines,4776,Immunogenicity and reactogenicity of BNT162b2 booster in BBIBP-CorVvaccinated individuals compared with homologous BNT162b2 vaccination: results of a pilot prospective cohort study from Lebanon
2864,Heterologous prime-boost strategies for COVID-19 vaccines,379,Induction of robust neutralizing antibodies against the COVID-19 Delta variant with ChAdOx1 nCoV-19 or BNT162b2 as a booster following a primary vaccination series with CoronaVac
2864,Heterologous prime-boost strategies for COVID-19 vaccines,3189,Differential immunogenicity of homologous versus heterologous boost in Ad26.COV2.S vaccine recipients
2864,Heterologous prime-boost strategies for COVID-19 vaccines,5915,Immunogenicity and reactogenicity of booster vaccinations after Ad26.COV2.S priming
3076,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine,5464,COVID-19: breaking down a global health crisis
3076,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine,2542,Chronic kidney disease is a key risk factor for severe COVID-19: a call to action by the ERA-EDTA
3076,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine,814,COVID-19 vaccines: the status and perspectives in delivery points of view
3076,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine,4793,"Safety, tolerability, and immunogenicity of an inactivated SARS-CoV-2 vaccine in healthy adults aged 18-59 years: A randomised, double-blind, placebo-controlled, phase 1/2 clinical trial"
3076,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine,3271,"Safety, tolerability, and immunogenicity of an inactivated SARS-CoV-2 vaccine (CoronaVac) in healthy adults aged 60 years and older: A randomised, double-blind, placebo-controlled, phase 1/2 clinical trial"
3076,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine,341,"Sinovac's COVID-19 shot is 83% effective, not 91%, Turkey says"
3076,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine,5459,Minimal change disease following influenza vaccination and acute renal failure: just a coincidence?
3076,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine,5531,Minimal change nephrotic syndrome in a 65-year-old patient following influenza vaccination
3076,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine,1405,"Minimal change nephrotic syndrome, lymphadenopathy and hyperimmunoglobulinemia after immunization with a pneumococcal vaccine"
3076,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine,2748,Minimal change disease following the Pfizer-BioNTech COVID-19 vaccine
3076,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine,695,Minimal change disease and acute kidney injury following the Pfizer-BioNTech COVID-19 vaccine
3076,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine,66,Minimal change disease following the Moderna mRNA-1273 SARS-CoV-2 vaccine
3076,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine,4102,Influenza virus vaccination in children with nephrotic syndrome: insignificant risk of relapse
3076,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine,4830,"Histological appearance of second renal biopsy. (A) Normal histological appearance of glomeruli (haematoxylen & eosin, Â200). (B) Interstitial inflammation composed predominantly of lymphocytes"
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,5665,Tools and Techniques for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-Cov-2)/COVID-19 Detection
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,3293,Effectiveness of Mrna COVID-19 Vaccines Against SARS-Cov-2 Infection in a Cohort of Healthcare Personnel
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,3072,"Mitigating Covid-19 in the Face of Emerging Virus Variants, Breakthrough Infections and Vaccine Hesitancy"
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,2772,Mrna-Based COVID-19 Vaccine Boosters Induce Neutralizing Immunity Against SARS-Cov-2 Omicron Variant
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,1067,Risk Factors for Severe COVID-19 Outcomes Among Persons Aged ≥18 Years Who Completed a Primary COVID-19 Vaccination Series -465 Health Care Facilities
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,535,Covid-19 Vaccine Effectiveness in New York State
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,5978,"Immunogenicity and Safety of a Third Dose of Coronavac, and Immune Persistence of a Two-Dose Schedule, in Healthy Adults: Interim Results From Two Single-Centre, Double-Blind, Randomised, Placebo-Controlled Phase 2 Clinical Trials"
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,2567,"Safety and Immunogenicity of an Inactivated COVID-19 Vaccine, BBIBP-Corv, in People Younger Than 18 Years: A Randomised, Double-Blind, Controlled, Phase 1/2 Trial"
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,2220,Safety and Efficacy of the BNT162b2 Mrna Covid-19 Vaccine Through 6 Months
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,3893,Dynamic Igg Seropositivity After Rollout of Coronavac and BNT162b2 COVID-19 Vaccines in Chile: A Sentinel Surveillance Study
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,5712,Effectiveness of the Coronavac Vaccine in Older Adults During a Gamma Variant Associated Epidemic of Covid-19 in Brazil: Test Negative Case-Control Study
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,3718,"Efficacy and Safety of an Inactivated Whole-Virion SARS-Cov-2 Vaccine (Coronavac): Interim Results of a Double-Blind, Randomised, Placebo-Controlled, Phase 3 Trial in Turkey"
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,926,COVID-19 in Cancer and Non-Cancer Patients
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,3425,Routine COVID-19 Testing may Not be Necessary for Most Cancer Patients
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,5362,Multicenter Study of Antibody Seroprevalence Against COVID-19 in Patients Presenting to Iranian Cancer Centers After One Year of the COVID-19 Pandemic
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,4188,The COVID-19 Outbreak and Oncology Centers in Iran
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,634,"COVID-19 Vaccination and Cancer, the Need for More Data"
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,3250,Evaluation of Seropositivity Following BNT162b2 Messenger RNA Vaccination for SARS-Cov-2 in Patients Undergoing Treatment for Cancer
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,4580,Efficacy and Safety of BNT162b2 Vaccination in Patients With Solid Cancer Receiving Anticancer Therapy -A Single Centre Prospective Study
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,5243,The Impact of Diagnostic Changes on the Rise in Thyroid Cancer Incidence: A Population-Based Study in Selected High-Resource Countries
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,5420,Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,3424,"Safety and Immunogenicity of the Vi-DT Typhoid Conjugate Vaccine in Healthy Volunteers in Nepal: An Observer-Blind, Active-Controlled, Randomised, non-Inferiority, Phase 3 Trial"
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,1610,"Safety and Immunogenicity of a Recombinant Tandem-Repeat Dimeric RBD-Based Protein Subunit Vaccine (ZF2001) Against COVID-19 in Adults: Two Randomised, Double-Blind, Placebo-Controlled, Phase 1 and 2 Trials"
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,272,"Safety and Immunogenicity of an Inactivated SARS-Cov-2 Vaccine, BBIBP-Corv: A Randomised, Double-Blind, Placebo-Controlled, Phase 1/2 Trial"
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,4019,Immunogenicity and Safety of the Inactivated SARS-Cov-2 Vaccine (BBIBP-Corv) in Patients With Malignancy
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,5929,A Cohort Study on the Immunogenicity and Safety of the Inactivated SARS-Cov-2 Vaccine (BBIBP-Corv) in Patients With Breast Cancer; Does Trastuzumab Interfere With the Outcome?
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,5520,Sex Differences and COVID-19
1707,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer,1341,Sex Differences in Vaccine-Induced Humoral Immunity
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,4496,WHO Coronavirus (COVID-19) Dashboard With Vaccination Data
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,5813,Quarantine alone or in combination with other public health measures to control COVID-19: a rapid review
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,4163,"Covid-19: Unvaccinated face 11 times risk of death from delta variant, CDC data show"
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,3916,"Features, Evaluation, and Treatment of Coronavirus (COVID-19)"
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,5462,"Four months into the COVID-19 pandemic, Sweden's prized herd immunity is nowhere in sight"
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,830,"Coronavirus disease (COVID-19): Herd immunity, lockdowns and COVID-19. Quest answers"
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,4329,"Covid-19: Herd immunity is ""unethical and unachievable, "" say experts after report of 5% seroprevalence in Spain"
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,3785,Global public health security and justice for vaccines and therapeutics in the COVID-19 pandemic EClinicalMedicine
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,3200,COVID-19 vaccine tracker and landscape
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,3255,Global prevalence and drivers of dental students' COVID-19 vaccine hesitancy
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,4939,Predictors of willingness to receive COVID-19 vaccine: cross-sectional study of Palestinian dental students
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,5533,COVID-19 vaccine in pregnant and lactating women: a review of existing evidence and practice guidelines
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,772,COVID-19 Vaccine acceptance of pregnant and lactating women (PLW) in Czechia: an analytical cross-sectional study
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,4034,Hesitant or not? A global survey of potential acceptance of a COVID-19 vaccine
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,1809,Prevalence and drivers of COVID-19 vaccine hesitancy among Czech University Students: national cross-sectional study
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,1685,Low COVID-19 vaccine acceptance is correlated with conspiracy beliefs among university students in Jordan
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,440,Iads-Score. Universal predictors of dental students' attitudes towards COVID-19 vaccination: machine learning-based approach
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,859,Reported COVID-19 vaccines side effects among Jordanian population: a cross sectional study
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,4057,"Effects and perceptions following COVID-19 vaccination in Jordan: a randomised, cross-sectional study implementing machine learning for predicting severity of side effects"
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,1894,Effects reported by Jordanian healthcare workers who received COVID-19 vaccines
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,4110,Evaluation of side effects associated with COVID-19 vaccines in Saudi Arabia
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,2390,"Adrees AO, Side. effects and perceptions following Sinopharm COVID-19 vaccination"
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,4533,Prevalence of COVID-19 vaccine side effects among healthcare workers in the Czech Republic
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,1087,Effects of mRNA-based and viral vector-based COVID-19 vaccines among German healthcare workers
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,4648,Effects of mRNA-based COVID-19 vaccine: nationwide phase iv study among healthcare workers in Slovakia
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,5597,Effects of mRNA-based COVID-19 vaccines among young adults
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,5446,Years Old): an independent post-marketing study
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,1139,Self-reported adverse events of COVID-19 vaccines in Polish healthcare workers and medical students. Cross-sectional study and pooled analysis of CoVaST project results in central Europe
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,2201,Prevalence and risk factors of CoronaVac side effects: an independent crosssectional study among healthcare workers in Turkey
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,2082,"COVID-19 vaccine access in Africa: global distribution, vaccine platforms, and challenges ahead"
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,5690,Algeria's preparedness for Omicron variant and for the fourth wave of COVID-19
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,1225,Algeria's response to COVID-19: an ongoing journey
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,4413,"Covid-19: Algeria receives US donation of 604,800 doses of J&J vaccine"
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,4635,Coronavirus Pandemic (COVID-19)
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,3838,The strengthening the reporting of observational studies in epidemiology (STROBE) statement: guidelines for reporting observational studies
2994,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers,3128,Questionnaire sur les effets secondaires des vaccins anti-COVID-19 chez le staff médical en Algérie −19 . Google Forms
