institution1,institution2,num
British Hospital,University of Miyazaki,1
British Hospital,Université de Paris,1
British Hospital,Juntendo University Graduate School of Medicine,1
British Hospital,Singapore General Hospital,1
British Hospital,Hospital de San José,1
British Hospital,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",1
British Hospital,Incyte Corporation,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,British Hospital,1
British Hospital,Zhongnan Hospital of Wuhan University,1
Arizona State University,British Hospital,1
British Hospital,Queens University,1
Centro de Hematología y Medicina Interna,The University of Texas MD Anderson Cancer Center,1
The University of Texas MD Anderson Cancer Center,University of Florence,1
The University of Texas MD Anderson Cancer Center,University Health Network,1
Mater Hospital,The University of Texas MD Anderson Cancer Center,1
The University of Texas MD Anderson Cancer Center,University of Arizona,1
The University of Texas MD Anderson Cancer Center,University of Miyazaki,1
The University of Texas MD Anderson Cancer Center,Université de Paris,1
Juntendo University Graduate School of Medicine,The University of Texas MD Anderson Cancer Center,1
Singapore General Hospital,The University of Texas MD Anderson Cancer Center,1
Hospital de San José,The University of Texas MD Anderson Cancer Center,1
The University of Texas MD Anderson Cancer Center,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",1
Incyte Corporation,The University of Texas MD Anderson Cancer Center,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,The University of Texas MD Anderson Cancer Center,1
The University of Texas MD Anderson Cancer Center,Zhongnan Hospital of Wuhan University,1
Arizona State University,The University of Texas MD Anderson Cancer Center,1
Queens University,The University of Texas MD Anderson Cancer Center,1
Centro de Hematología y Medicina Interna,University of Florence,1
Centro de Hematología y Medicina Interna,University Health Network,1
Centro de Hematología y Medicina Interna,Mater Hospital,1
Centro de Hematología y Medicina Interna,University of Arizona,1
Centro de Hematología y Medicina Interna,University of Miyazaki,1
Centro de Hematología y Medicina Interna,Université de Paris,1
Centro de Hematología y Medicina Interna,Juntendo University Graduate School of Medicine,1
Centro de Hematología y Medicina Interna,Singapore General Hospital,1
Centro de Hematología y Medicina Interna,Hospital de San José,1
Centro de Hematología y Medicina Interna,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",7
Centro de Hematología y Medicina Interna,Incyte Corporation,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,Centro de Hematología y Medicina Interna,1
Centro de Hematología y Medicina Interna,Zhongnan Hospital of Wuhan University,1
Arizona State University,Centro de Hematología y Medicina Interna,1
Centro de Hematología y Medicina Interna,Queens University,1
University Health Network,University of Florence,1
Mater Hospital,University of Florence,1
University of Arizona,University of Florence,1
University of Florence,University of Miyazaki,1
University of Florence,Université de Paris,1
Juntendo University Graduate School of Medicine,University of Florence,1
Singapore General Hospital,University of Florence,1
Hospital de San José,University of Florence,1
"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",University of Florence,1
Incyte Corporation,University of Florence,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,University of Florence,1
University of Florence,Zhongnan Hospital of Wuhan University,1
Arizona State University,University of Florence,1
Queens University,University of Florence,1
Mater Hospital,University Health Network,1
University Health Network,University of Arizona,1
University Health Network,University of Miyazaki,1
University Health Network,Université de Paris,1
Juntendo University Graduate School of Medicine,University Health Network,1
Singapore General Hospital,University Health Network,1
Hospital de San José,University Health Network,1
"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",University Health Network,1
Incyte Corporation,University Health Network,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,University Health Network,1
University Health Network,Zhongnan Hospital of Wuhan University,1
Arizona State University,University Health Network,1
Queens University,University Health Network,1
Mater Hospital,University of Arizona,1
Mater Hospital,University of Miyazaki,1
Mater Hospital,Université de Paris,1
Juntendo University Graduate School of Medicine,Mater Hospital,1
Mater Hospital,Singapore General Hospital,1
Hospital de San José,Mater Hospital,1
Mater Hospital,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",1
Incyte Corporation,Mater Hospital,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,Mater Hospital,1
Mater Hospital,Zhongnan Hospital of Wuhan University,1
Arizona State University,Mater Hospital,1
Mater Hospital,Queens University,1
University of Arizona,University of Miyazaki,1
University of Arizona,Université de Paris,1
Juntendo University Graduate School of Medicine,University of Arizona,1
Singapore General Hospital,University of Arizona,1
Hospital de San José,University of Arizona,1
"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",University of Arizona,1
Incyte Corporation,University of Arizona,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,University of Arizona,1
University of Arizona,Zhongnan Hospital of Wuhan University,1
Arizona State University,University of Arizona,1
Queens University,University of Arizona,1
University of Miyazaki,Université de Paris,1
Juntendo University Graduate School of Medicine,University of Miyazaki,1
Singapore General Hospital,University of Miyazaki,1
Hospital de San José,University of Miyazaki,1
"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",University of Miyazaki,1
Incyte Corporation,University of Miyazaki,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,University of Miyazaki,1
University of Miyazaki,Zhongnan Hospital of Wuhan University,1
Arizona State University,University of Miyazaki,1
Queens University,University of Miyazaki,1
Juntendo University Graduate School of Medicine,Université de Paris,1
Singapore General Hospital,Université de Paris,1
Hospital de San José,Université de Paris,1
"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",Université de Paris,1
Incyte Corporation,Université de Paris,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,Université de Paris,1
Université de Paris,Zhongnan Hospital of Wuhan University,1
Arizona State University,Université de Paris,1
Queens University,Université de Paris,1
Juntendo University Graduate School of Medicine,Singapore General Hospital,1
Hospital de San José,Juntendo University Graduate School of Medicine,1
Juntendo University Graduate School of Medicine,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",1
Incyte Corporation,Juntendo University Graduate School of Medicine,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,Juntendo University Graduate School of Medicine,1
Juntendo University Graduate School of Medicine,Zhongnan Hospital of Wuhan University,1
Arizona State University,Juntendo University Graduate School of Medicine,1
Juntendo University Graduate School of Medicine,Queens University,1
Hospital de San José,Singapore General Hospital,1
Singapore General Hospital,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",1
Incyte Corporation,Singapore General Hospital,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,Singapore General Hospital,1
Singapore General Hospital,Zhongnan Hospital of Wuhan University,1
Arizona State University,Singapore General Hospital,1
Queens University,Singapore General Hospital,1
Hospital de San José,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",1
Hospital de San José,Incyte Corporation,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,Hospital de San José,1
Hospital de San José,Zhongnan Hospital of Wuhan University,1
Arizona State University,Hospital de San José,1
Hospital de San José,Queens University,1
Incyte Corporation,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",1
"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",Zhongnan Hospital of Wuhan University,1
Arizona State University,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",1
Queens University,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,Incyte Corporation,1
Incyte Corporation,Zhongnan Hospital of Wuhan University,1
Arizona State University,Incyte Corporation,1
Incyte Corporation,Queens University,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,Zhongnan Hospital of Wuhan University,1
Arizona State University,Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,1
Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation,Queens University,1
Arizona State University,Zhongnan Hospital of Wuhan University,1
Queens University,Zhongnan Hospital of Wuhan University,1
Arizona State University,Queens University,1
Hellenic Pasteur Institute,National and Kapodistrian University of Athens,14
Evangelismos General Hospital,National and Kapodistrian University of Athens,21
"""Saint Savvas"" Oncology Hospital",National and Kapodistrian University of Athens,14
National and Kapodistrian University of Athens,Sotiria General Hospital of Chest Diseases,7
National and Kapodistrian University of Athens,University of Patras,14
National and Kapodistrian University of Athens,"Oncology Unit, National and Kapodistrian University of Athens",7
Hellenic National Blood Transfusion Center,National and Kapodistrian University of Athens,7
National Technical University of Athens,National and Kapodistrian University of Athens,7
Alexandra General Hospital,National and Kapodistrian University of Athens,7
Evangelismos General Hospital,Hellenic Pasteur Institute,6
"""Saint Savvas"" Oncology Hospital",Hellenic Pasteur Institute,4
Hellenic Pasteur Institute,Sotiria General Hospital of Chest Diseases,2
Hellenic Pasteur Institute,University of Patras,4
Hellenic Pasteur Institute,"Oncology Unit, National and Kapodistrian University of Athens",2
Hellenic National Blood Transfusion Center,Hellenic Pasteur Institute,2
Hellenic Pasteur Institute,National Technical University of Athens,2
Alexandra General Hospital,Hellenic Pasteur Institute,2
"""Saint Savvas"" Oncology Hospital",Evangelismos General Hospital,6
Evangelismos General Hospital,Sotiria General Hospital of Chest Diseases,3
Evangelismos General Hospital,University of Patras,6
Evangelismos General Hospital,"Oncology Unit, National and Kapodistrian University of Athens",3
Evangelismos General Hospital,Hellenic National Blood Transfusion Center,3
Evangelismos General Hospital,National Technical University of Athens,3
Alexandra General Hospital,Evangelismos General Hospital,3
"""Saint Savvas"" Oncology Hospital",Sotiria General Hospital of Chest Diseases,2
"""Saint Savvas"" Oncology Hospital",University of Patras,4
"""Saint Savvas"" Oncology Hospital","Oncology Unit, National and Kapodistrian University of Athens",2
"""Saint Savvas"" Oncology Hospital",Hellenic National Blood Transfusion Center,2
"""Saint Savvas"" Oncology Hospital",National Technical University of Athens,2
"""Saint Savvas"" Oncology Hospital",Alexandra General Hospital,2
Sotiria General Hospital of Chest Diseases,University of Patras,2
"Oncology Unit, National and Kapodistrian University of Athens",Sotiria General Hospital of Chest Diseases,1
Hellenic National Blood Transfusion Center,Sotiria General Hospital of Chest Diseases,1
National Technical University of Athens,Sotiria General Hospital of Chest Diseases,1
Alexandra General Hospital,Sotiria General Hospital of Chest Diseases,1
"Oncology Unit, National and Kapodistrian University of Athens",University of Patras,2
Hellenic National Blood Transfusion Center,University of Patras,2
National Technical University of Athens,University of Patras,2
Alexandra General Hospital,University of Patras,2
Hellenic National Blood Transfusion Center,"Oncology Unit, National and Kapodistrian University of Athens",1
National Technical University of Athens,"Oncology Unit, National and Kapodistrian University of Athens",1
Alexandra General Hospital,"Oncology Unit, National and Kapodistrian University of Athens",1
Hellenic National Blood Transfusion Center,National Technical University of Athens,1
Alexandra General Hospital,Hellenic National Blood Transfusion Center,1
Alexandra General Hospital,National Technical University of Athens,1
Hackensack University Medical Center,Memorial Sloan Kettering Cancer Center,11
Loyola University Medical Center,Rush University Medical Center,88
Loyola University Medical Center,University Of Illinois Chicago,22
Loyola University Chicago,Loyola University Medical Center,88
Loyola University Medical Center,University of Illinois Hospital & Health Sciences System,22
Loyola University Medical Center,University of IL Chicago,22
Loyola University Medical Center,MacNeal Hospital,44
Loyola University Medical Center,Loyola University-Chicago,22
Loyola University Medical Center,University of Illinois at Chicago,22
Rush University Medical Center,University Of Illinois Chicago,4
Loyola University Chicago,Rush University Medical Center,16
Rush University Medical Center,University of Illinois Hospital & Health Sciences System,4
Rush University Medical Center,University of IL Chicago,4
MacNeal Hospital,Rush University Medical Center,8
Loyola University-Chicago,Rush University Medical Center,4
Rush University Medical Center,University of Illinois at Chicago,4
Loyola University Chicago,University Of Illinois Chicago,4
University Of Illinois Chicago,University of Illinois Hospital & Health Sciences System,1
University Of Illinois Chicago,University of IL Chicago,1
MacNeal Hospital,University Of Illinois Chicago,2
Loyola University-Chicago,University Of Illinois Chicago,1
University Of Illinois Chicago,University of Illinois at Chicago,1
Loyola University Chicago,University of Illinois Hospital & Health Sciences System,4
Loyola University Chicago,University of IL Chicago,4
Loyola University Chicago,MacNeal Hospital,8
Loyola University Chicago,Loyola University-Chicago,4
Loyola University Chicago,University of Illinois at Chicago,4
University of IL Chicago,University of Illinois Hospital & Health Sciences System,1
MacNeal Hospital,University of Illinois Hospital & Health Sciences System,2
Loyola University-Chicago,University of Illinois Hospital & Health Sciences System,1
University of Illinois Hospital & Health Sciences System,University of Illinois at Chicago,1
MacNeal Hospital,University of IL Chicago,2
Loyola University-Chicago,University of IL Chicago,1
University of IL Chicago,University of Illinois at Chicago,1
Loyola University-Chicago,MacNeal Hospital,2
MacNeal Hospital,University of Illinois at Chicago,2
Loyola University-Chicago,University of Illinois at Chicago,1
SALAMANCA,University Hospital Infanta Leonor,1
Hospital Universitario de Leon,SALAMANCA,1
Hospital Universitario Marqués de Valdecilla (IDIVAL),SALAMANCA,1
Las Palmas de Gran Canaria,SALAMANCA,1
Hospital Universitario Ramón y Cajal,SALAMANCA,1
Hospital Clínico Universitario de Valencia,SALAMANCA,1
Hospital Universitario,SALAMANCA,1
Hospital Universitario Virgen de las Nieves,SALAMANCA,1
Health Research Institute IIS-FJD,SALAMANCA,1
Hospital Clinico San Carlos. Madrid,SALAMANCA,1
Hospital General Universitario de Alicante,SALAMANCA,1
SALAMANCA,Universidad de Sevilla,1
SALAMANCA,University of Murcia,1
SALAMANCA,Universitario Gregorio Marañón,1
Hospital Universitario de Salamanca,SALAMANCA,1
Hospital Universitario de Leon,University Hospital Infanta Leonor,1
Hospital Universitario Marqués de Valdecilla (IDIVAL),University Hospital Infanta Leonor,1
Las Palmas de Gran Canaria,University Hospital Infanta Leonor,1
Hospital Universitario Ramón y Cajal,University Hospital Infanta Leonor,1
Hospital Clínico Universitario de Valencia,University Hospital Infanta Leonor,1
Hospital Universitario,University Hospital Infanta Leonor,1
Hospital Universitario Virgen de las Nieves,University Hospital Infanta Leonor,1
Health Research Institute IIS-FJD,University Hospital Infanta Leonor,1
Hospital Clinico San Carlos. Madrid,University Hospital Infanta Leonor,1
Hospital General Universitario de Alicante,University Hospital Infanta Leonor,1
Universidad de Sevilla,University Hospital Infanta Leonor,1
University Hospital Infanta Leonor,University of Murcia,1
Universitario Gregorio Marañón,University Hospital Infanta Leonor,1
Hospital Universitario de Salamanca,University Hospital Infanta Leonor,1
Hospital Universitario Marqués de Valdecilla (IDIVAL),Hospital Universitario de Leon,1
Hospital Universitario de Leon,Las Palmas de Gran Canaria,1
Hospital Universitario Ramón y Cajal,Hospital Universitario de Leon,1
Hospital Clínico Universitario de Valencia,Hospital Universitario de Leon,1
Hospital Universitario,Hospital Universitario de Leon,1
Hospital Universitario Virgen de las Nieves,Hospital Universitario de Leon,1
Health Research Institute IIS-FJD,Hospital Universitario de Leon,1
Hospital Clinico San Carlos. Madrid,Hospital Universitario de Leon,1
Hospital General Universitario de Alicante,Hospital Universitario de Leon,1
Hospital Universitario de Leon,Universidad de Sevilla,1
Hospital Universitario de Leon,University of Murcia,1
Hospital Universitario de Leon,Universitario Gregorio Marañón,1
Hospital Universitario de Leon,Hospital Universitario de Salamanca,1
Hospital Universitario Marqués de Valdecilla (IDIVAL),Las Palmas de Gran Canaria,1
Hospital Universitario Marqués de Valdecilla (IDIVAL),Hospital Universitario Ramón y Cajal,1
Hospital Clínico Universitario de Valencia,Hospital Universitario Marqués de Valdecilla (IDIVAL),1
Hospital Universitario,Hospital Universitario Marqués de Valdecilla (IDIVAL),1
Hospital Universitario Marqués de Valdecilla (IDIVAL),Hospital Universitario Virgen de las Nieves,1
Health Research Institute IIS-FJD,Hospital Universitario Marqués de Valdecilla (IDIVAL),1
Hospital Clinico San Carlos. Madrid,Hospital Universitario Marqués de Valdecilla (IDIVAL),1
Hospital General Universitario de Alicante,Hospital Universitario Marqués de Valdecilla (IDIVAL),1
Hospital Universitario Marqués de Valdecilla (IDIVAL),Universidad de Sevilla,1
Hospital Universitario Marqués de Valdecilla (IDIVAL),University of Murcia,1
Hospital Universitario Marqués de Valdecilla (IDIVAL),Universitario Gregorio Marañón,1
Hospital Universitario Marqués de Valdecilla (IDIVAL),Hospital Universitario de Salamanca,1
Hospital Universitario Ramón y Cajal,Las Palmas de Gran Canaria,1
Hospital Clínico Universitario de Valencia,Las Palmas de Gran Canaria,1
Hospital Universitario,Las Palmas de Gran Canaria,1
Hospital Universitario Virgen de las Nieves,Las Palmas de Gran Canaria,1
Health Research Institute IIS-FJD,Las Palmas de Gran Canaria,1
Hospital Clinico San Carlos. Madrid,Las Palmas de Gran Canaria,1
Hospital General Universitario de Alicante,Las Palmas de Gran Canaria,1
Las Palmas de Gran Canaria,Universidad de Sevilla,1
Las Palmas de Gran Canaria,University of Murcia,1
Las Palmas de Gran Canaria,Universitario Gregorio Marañón,1
Hospital Universitario de Salamanca,Las Palmas de Gran Canaria,1
Hospital Clínico Universitario de Valencia,Hospital Universitario Ramón y Cajal,1
Hospital Universitario,Hospital Universitario Ramón y Cajal,1
Hospital Universitario Ramón y Cajal,Hospital Universitario Virgen de las Nieves,1
Health Research Institute IIS-FJD,Hospital Universitario Ramón y Cajal,1
Hospital Clinico San Carlos. Madrid,Hospital Universitario Ramón y Cajal,1
Hospital General Universitario de Alicante,Hospital Universitario Ramón y Cajal,2
Hospital Universitario Ramón y Cajal,Universidad de Sevilla,1
Hospital Universitario Ramón y Cajal,University of Murcia,1
Hospital Universitario Ramón y Cajal,Universitario Gregorio Marañón,1
Hospital Universitario Ramón y Cajal,Hospital Universitario de Salamanca,2
Hospital Clínico Universitario de Valencia,Hospital Universitario,1
Hospital Clínico Universitario de Valencia,Hospital Universitario Virgen de las Nieves,1
Health Research Institute IIS-FJD,Hospital Clínico Universitario de Valencia,1
Hospital Clinico San Carlos. Madrid,Hospital Clínico Universitario de Valencia,1
Hospital Clínico Universitario de Valencia,Hospital General Universitario de Alicante,1
Hospital Clínico Universitario de Valencia,Universidad de Sevilla,1
Hospital Clínico Universitario de Valencia,University of Murcia,1
Hospital Clínico Universitario de Valencia,Universitario Gregorio Marañón,1
Hospital Clínico Universitario de Valencia,Hospital Universitario de Salamanca,1
Hospital Universitario,Hospital Universitario Virgen de las Nieves,1
Health Research Institute IIS-FJD,Hospital Universitario,1
Hospital Clinico San Carlos. Madrid,Hospital Universitario,1
Hospital General Universitario de Alicante,Hospital Universitario,1
Hospital Universitario,Universidad de Sevilla,1
Hospital Universitario,University of Murcia,1
Hospital Universitario,Universitario Gregorio Marañón,1
Hospital Universitario,Hospital Universitario de Salamanca,1
Health Research Institute IIS-FJD,Hospital Universitario Virgen de las Nieves,1
Hospital Clinico San Carlos. Madrid,Hospital Universitario Virgen de las Nieves,1
Hospital General Universitario de Alicante,Hospital Universitario Virgen de las Nieves,1
Hospital Universitario Virgen de las Nieves,Universidad de Sevilla,1
Hospital Universitario Virgen de las Nieves,University of Murcia,1
Hospital Universitario Virgen de las Nieves,Universitario Gregorio Marañón,1
Hospital Universitario Virgen de las Nieves,Hospital Universitario de Salamanca,1
Health Research Institute IIS-FJD,Hospital Clinico San Carlos. Madrid,1
Health Research Institute IIS-FJD,Hospital General Universitario de Alicante,1
Health Research Institute IIS-FJD,Universidad de Sevilla,1
Health Research Institute IIS-FJD,University of Murcia,1
Health Research Institute IIS-FJD,Universitario Gregorio Marañón,1
Health Research Institute IIS-FJD,Hospital Universitario de Salamanca,1
Hospital Clinico San Carlos. Madrid,Hospital General Universitario de Alicante,1
Hospital Clinico San Carlos. Madrid,Universidad de Sevilla,1
Hospital Clinico San Carlos. Madrid,University of Murcia,1
Hospital Clinico San Carlos. Madrid,Universitario Gregorio Marañón,1
Hospital Clinico San Carlos. Madrid,Hospital Universitario de Salamanca,1
Hospital General Universitario de Alicante,Universidad de Sevilla,1
Hospital General Universitario de Alicante,University of Murcia,1
Hospital General Universitario de Alicante,Universitario Gregorio Marañón,1
Hospital General Universitario de Alicante,Hospital Universitario de Salamanca,2
Universidad de Sevilla,University of Murcia,1
Universidad de Sevilla,Universitario Gregorio Marañón,1
Hospital Universitario de Salamanca,Universidad de Sevilla,1
Universitario Gregorio Marañón,University of Murcia,1
Hospital Universitario de Salamanca,University of Murcia,1
Hospital Universitario de Salamanca,Universitario Gregorio Marañón,1
University of Houston,University of Texas MD Anderson Cancer Center,2
Hospital General San Juan de Dios,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",2
Instituto Guatemalteco de Seguridad Social,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",2
Estado de México,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",4
Hospital Regional de Alta Especialidad del Bajio,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",2
IMSS,"Universidad Autonoma de Nuevo Leon, Hospital Universitario ""Dr. José Eleuterio Gonzalez""",2
Hospital General San Juan de Dios,Instituto Guatemalteco de Seguridad Social,1
Estado de México,Hospital General San Juan de Dios,2
Hospital General San Juan de Dios,Hospital Regional de Alta Especialidad del Bajio,1
Centro de Hematología y Medicina Interna,Hospital General San Juan de Dios,3
Hospital General San Juan de Dios,IMSS,1
Estado de México,Instituto Guatemalteco de Seguridad Social,2
Hospital Regional de Alta Especialidad del Bajio,Instituto Guatemalteco de Seguridad Social,1
Centro de Hematología y Medicina Interna,Instituto Guatemalteco de Seguridad Social,3
IMSS,Instituto Guatemalteco de Seguridad Social,1
Estado de México,Hospital Regional de Alta Especialidad del Bajio,2
Centro de Hematología y Medicina Interna,Estado de México,6
Estado de México,IMSS,2
Centro de Hematología y Medicina Interna,Hospital Regional de Alta Especialidad del Bajio,3
Hospital Regional de Alta Especialidad del Bajio,IMSS,1
Centro de Hematología y Medicina Interna,IMSS,3
University College London Hospitals NHS Foundation Trust,University of Toronto,1
University of Leeds,University of Toronto,1
Fondazione IRCCS Ca' Grande Ospedale Maggiore Policlinico and University of Milan,University of Toronto,1
Hospital Universitario Ramón y Cajal,University of Toronto,1
Besancon University Hospital,University of Toronto,1
Barts Cancer Institute,University of Toronto,1
Beth Israel Deaconess Medical Center Harvard Medical School,University of Toronto,1
Beth Israel Deaconess Medical Center,University of Toronto,1
University of Toronto,Université Catholique de Louvain,1
IRCCS Ospedale San Raffaele,University of Toronto,1
George Papanicolaou Hospital,University of Toronto,1
University of Toronto,Université catholique de Louvain,2
Albert Einstein College of Medicine,University of Toronto,1
University of North Carolina at Chapel Hill,University of Toronto,1
University College London Hospitals NHS Foundation Trust,University of Leeds,1
Fondazione IRCCS Ca' Grande Ospedale Maggiore Policlinico and University of Milan,University College London Hospitals NHS Foundation Trust,1
Hospital Universitario Ramón y Cajal,University College London Hospitals NHS Foundation Trust,1
Besancon University Hospital,University College London Hospitals NHS Foundation Trust,1
Barts Cancer Institute,University College London Hospitals NHS Foundation Trust,1
Beth Israel Deaconess Medical Center Harvard Medical School,University College London Hospitals NHS Foundation Trust,1
Beth Israel Deaconess Medical Center,University College London Hospitals NHS Foundation Trust,1
University College London Hospitals NHS Foundation Trust,Université Catholique de Louvain,1
IRCCS Ospedale San Raffaele,University College London Hospitals NHS Foundation Trust,1
George Papanicolaou Hospital,University College London Hospitals NHS Foundation Trust,1
University College London Hospitals NHS Foundation Trust,Université catholique de Louvain,2
Albert Einstein College of Medicine,University College London Hospitals NHS Foundation Trust,1
University College London Hospitals NHS Foundation Trust,University of North Carolina at Chapel Hill,1
Fondazione IRCCS Ca' Grande Ospedale Maggiore Policlinico and University of Milan,University of Leeds,1
Hospital Universitario Ramón y Cajal,University of Leeds,1
Besancon University Hospital,University of Leeds,1
Barts Cancer Institute,University of Leeds,1
Beth Israel Deaconess Medical Center Harvard Medical School,University of Leeds,1
Beth Israel Deaconess Medical Center,University of Leeds,1
University of Leeds,Université Catholique de Louvain,1
IRCCS Ospedale San Raffaele,University of Leeds,1
George Papanicolaou Hospital,University of Leeds,1
University of Leeds,Université catholique de Louvain,2
Albert Einstein College of Medicine,University of Leeds,1
University of Leeds,University of North Carolina at Chapel Hill,1
Fondazione IRCCS Ca' Grande Ospedale Maggiore Policlinico and University of Milan,Hospital Universitario Ramón y Cajal,1
Besancon University Hospital,Fondazione IRCCS Ca' Grande Ospedale Maggiore Policlinico and University of Milan,1
Barts Cancer Institute,Fondazione IRCCS Ca' Grande Ospedale Maggiore Policlinico and University of Milan,1
Beth Israel Deaconess Medical Center Harvard Medical School,Fondazione IRCCS Ca' Grande Ospedale Maggiore Policlinico and University of Milan,1
Beth Israel Deaconess Medical Center,Fondazione IRCCS Ca' Grande Ospedale Maggiore Policlinico and University of Milan,1
Fondazione IRCCS Ca' Grande Ospedale Maggiore Policlinico and University of Milan,Université Catholique de Louvain,1
Fondazione IRCCS Ca' Grande Ospedale Maggiore Policlinico and University of Milan,IRCCS Ospedale San Raffaele,1
