id,title
33,Development of a novel platform of virus-like particle (VLP)-based vaccine against COVID-19 by exposing epitopes: an immunoinformatics approach
34,"COVID-19 vaccines: comparison of biological, pharmacological characteristics and adverse effects of Pfizer/BioNTech and Moderna vaccines"
35,DNA vaccines against COVID-19: perspectives and challenges
36,The different types of COVID-19 vaccines
37,Commonly used adjuvant human vaccines: advantages and side effects
38,Comparative safety of vaccine adjuvants: a summary of current evidence and future needs
39,"Allergic reactions to current available COVID-19 vaccinations: pathophysiology, causality, and therapeutic considerations"
40,&#x007E;:text=COVID%2D19%20vaccines%20are%20sa fe
41,"Safety and efficacy of the ChAdOx1 nCoV-19 vaccine (AZD1222) against SARS-CoV-2: an interim analysis of four randomised controlled trials in Brazil, South Africa, and the UK"
42,Optimism and caution for an inactivated COVID-19 vaccine
43,"Safety and immunogenicity of ChAdOx1 nCoV-19 vaccine administered in a primeboost regimen in young and old adults (COV002): a single-blind, randomised, controlled, phase 2/3 trial"
44,"Safety and immunogenicity of the ChAdOx1 nCoV-19 vaccine against SARS-CoV-2: a preliminary report of a phase 1/2, single-blind, randomised controlled trial"
45,Comparing the COVID-19 vaccines: how are they different
46,Heterologous ChA-dOx1 nCoV-19/BNT162b2 prime-boost vaccination induces strong humoral responses among health care workers
47,"reactogenicity, and immunogenicity of homologous and heterologous primeboost immunisation with ChAdOx1-nCoV19 and BNT162b2: a prospective cohort study"
48,Cellular immunity predominates over humoral immunity after homologous and heterologous mRNA and vector-based COVID-19 vaccine regimens in solid organ transplant recipients
49,Heterologous ChAdOx1 nCoV-19 and BNT162b2 prime-boost vaccination elicits potent neutralizing antibody responses and T cell reactivity
50,Heterologous ChAdOx1 nCoV-19 and mRNA-1273 vaccination. N Eng
51,Heterologous ChAdOx1-S/BNT162b2 vaccination: neutralizing antibody response to SARS-CoV-2
52,"Immunogenicity and reactogenicity of BNT162b2 booster in ChAdOx1-S-primed participants (CombiVacS): a multicentre, open-label, randomised, controlled, phase 2 trial"
53,Immune responses against SARS-CoV-2 variants after heterologous and homologous ChAdOx1 nCoV-19/BNT162b2 vaccination
54,An immunogenicity report for the comparison between heterologous and homologous prime-boost schedules with ChAdOx1-S and BNT162b2 vaccines
55,mRNA vaccines enhance neutralizing immunity against SARS-CoV-2 variants in convalescent and ChAdOx1-primed subjects
56,Real-world data shows increased reactogenicity in adults after heterologous compared to homologous prime-boost COVID-19 vaccination
57,SARS-CoV-2 delta variant neutralisation after heterologous ChAdOx1-S/BNT162b2 vaccination
58,"Safety and immunogenicity of heterologous versus homologous prime-boost schedules with an adenoviral vectored and mRNA COVID-19 vaccine (Com-COV): a single-blind, randomised, non-inferiority trial"
59,Immune response elicited from heterologous SARS-CoV-2 vaccination: Sinovac (CoronaVac) followed by AstraZeneca (Vaxzevria)
60,Immunogenicity and reactogenicity of heterologous ChAdOx1 nCoV-19/mRNA vaccination
61,Low SARS-CoV-2 infection rates and high vaccine-induced immunity among German healthcare workers at the end of the third wave of the COVID-19 pandemic
62,Vaccine effectiveness when combining the ChAdOx1 vaccine as the first dose with an mRNA COVID-19 vaccine as the second dose
63,Neutralization of the SARS-CoV-2 Delta variant after heterologous and homologous BNT162b2 or ChAdOx1 nCoV-19 vaccination
64,Neutralization of VOCs including Delta one year post COVID-19 or vaccine
65,The anti-SARS-CoV-2 immunoglobulin G levels and neutralising capacities against alpha and delta virus variants of concern achieved after initial immunisation with vector vaccine followed by mRNA vaccine boost are comparable to those after double immunisation with mRNA vaccines
66,"Two-dose SARS-CoV-2 vaccine effectiveness with mixed schedules and extended dosing intervals: test-negative design studies from British Columbia and Quebec, Canada"
67,Heterologous prime-boost vaccination with ChAdOx1 nCoV-19 and BNT162b2
68,Immunogenicity and safety of a heterologous prime-boost COVID-19 vaccine schedule: ChAdOx1 vaccine Covishield followed by BBV152 Covaxin
69,Heterologous SARS-CoV-2 booster vaccinations -preliminary report
70,Immunogenicity of a third dose viral-vectored COVID-19 vaccine after receiving two-dose inactivated vaccines in healthy adults
71,Heterologous prime-boost immunization with CoronaVac and Convidecia
72,SARS-CoV-2 specific antibody responses after third CoronaVac or BNT162b2 vaccine following two-dose CoronaVac vaccine regimen
73,Immunogenicity and reactogenicity of BNT162b2 booster in BBIBP-CorVvaccinated individuals compared with homologous BNT162b2 vaccination: results of a pilot prospective cohort study from Lebanon
74,Induction of robust neutralizing antibodies against the COVID-19 Delta variant with ChAdOx1 nCoV-19 or BNT162b2 as a booster following a primary vaccination series with CoronaVac
75,Differential immunogenicity of homologous versus heterologous boost in Ad26.COV2.S vaccine recipients
76,Immunogenicity and reactogenicity of booster vaccinations after Ad26.COV2.S priming
77,Nephrotic syndrome and acute kidney injury following CoronaVac anti-SARS-CoV-2 vaccine
78,COVID-19: breaking down a global health crisis
79,Chronic kidney disease is a key risk factor for severe COVID-19: a call to action by the ERA-EDTA
80,COVID-19 vaccines: the status and perspectives in delivery points of view
81,"Safety, tolerability, and immunogenicity of an inactivated SARS-CoV-2 vaccine in healthy adults aged 18-59 years: A randomised, double-blind, placebo-controlled, phase 1/2 clinical trial"
82,"Safety, tolerability, and immunogenicity of an inactivated SARS-CoV-2 vaccine (CoronaVac) in healthy adults aged 60 years and older: A randomised, double-blind, placebo-controlled, phase 1/2 clinical trial"
83,"Sinovac's COVID-19 shot is 83% effective, not 91%, Turkey says"
84,Minimal change disease following influenza vaccination and acute renal failure: just a coincidence?
85,Minimal change nephrotic syndrome in a 65-year-old patient following influenza vaccination
86,"Minimal change nephrotic syndrome, lymphadenopathy and hyperimmunoglobulinemia after immunization with a pneumococcal vaccine"
87,Minimal change disease following the Pfizer-BioNTech COVID-19 vaccine
88,Minimal change disease and acute kidney injury following the Pfizer-BioNTech COVID-19 vaccine
89,Minimal change disease following the Moderna mRNA-1273 SARS-CoV-2 vaccine
90,Influenza virus vaccination in children with nephrotic syndrome: insignificant risk of relapse
91,"Histological appearance of second renal biopsy. (A) Normal histological appearance of glomeruli (haematoxylen & eosin, Â200). (B) Interstitial inflammation composed predominantly of lymphocytes"
92,Safety and Immunogenicity of Inactivated and Recombinant Protein SARS-CoV-2 Vaccines in Patients With Thyroid Cancer
93,Tools and Techniques for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-Cov-2)/COVID-19 Detection
94,Effectiveness of Mrna COVID-19 Vaccines Against SARS-Cov-2 Infection in a Cohort of Healthcare Personnel
95,"Mitigating Covid-19 in the Face of Emerging Virus Variants, Breakthrough Infections and Vaccine Hesitancy"
96,Mrna-Based COVID-19 Vaccine Boosters Induce Neutralizing Immunity Against SARS-Cov-2 Omicron Variant
97,Risk Factors for Severe COVID-19 Outcomes Among Persons Aged ≥18 Years Who Completed a Primary COVID-19 Vaccination Series -465 Health Care Facilities
98,Covid-19 Vaccine Effectiveness in New York State
99,"Immunogenicity and Safety of a Third Dose of Coronavac, and Immune Persistence of a Two-Dose Schedule, in Healthy Adults: Interim Results From Two Single-Centre, Double-Blind, Randomised, Placebo-Controlled Phase 2 Clinical Trials"
100,"Safety and Immunogenicity of an Inactivated COVID-19 Vaccine, BBIBP-Corv, in People Younger Than 18 Years: A Randomised, Double-Blind, Controlled, Phase 1/2 Trial"
101,Safety and Efficacy of the BNT162b2 Mrna Covid-19 Vaccine Through 6 Months
102,Dynamic Igg Seropositivity After Rollout of Coronavac and BNT162b2 COVID-19 Vaccines in Chile: A Sentinel Surveillance Study
103,Effectiveness of the Coronavac Vaccine in Older Adults During a Gamma Variant Associated Epidemic of Covid-19 in Brazil: Test Negative Case-Control Study
104,"Efficacy and Safety of an Inactivated Whole-Virion SARS-Cov-2 Vaccine (Coronavac): Interim Results of a Double-Blind, Randomised, Placebo-Controlled, Phase 3 Trial in Turkey"
105,COVID-19 in Cancer and Non-Cancer Patients
106,Routine COVID-19 Testing may Not be Necessary for Most Cancer Patients
107,Multicenter Study of Antibody Seroprevalence Against COVID-19 in Patients Presenting to Iranian Cancer Centers After One Year of the COVID-19 Pandemic
108,The COVID-19 Outbreak and Oncology Centers in Iran
109,"COVID-19 Vaccination and Cancer, the Need for More Data"
110,Evaluation of Seropositivity Following BNT162b2 Messenger RNA Vaccination for SARS-Cov-2 in Patients Undergoing Treatment for Cancer
111,Efficacy and Safety of BNT162b2 Vaccination in Patients With Solid Cancer Receiving Anticancer Therapy -A Single Centre Prospective Study
112,The Impact of Diagnostic Changes on the Rise in Thyroid Cancer Incidence: A Population-Based Study in Selected High-Resource Countries
113,Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries
114,"Safety and Immunogenicity of the Vi-DT Typhoid Conjugate Vaccine in Healthy Volunteers in Nepal: An Observer-Blind, Active-Controlled, Randomised, non-Inferiority, Phase 3 Trial"
115,"Safety and Immunogenicity of a Recombinant Tandem-Repeat Dimeric RBD-Based Protein Subunit Vaccine (ZF2001) Against COVID-19 in Adults: Two Randomised, Double-Blind, Placebo-Controlled, Phase 1 and 2 Trials"
116,"Safety and Immunogenicity of an Inactivated SARS-Cov-2 Vaccine, BBIBP-Corv: A Randomised, Double-Blind, Placebo-Controlled, Phase 1/2 Trial"
117,Immunogenicity and Safety of the Inactivated SARS-Cov-2 Vaccine (BBIBP-Corv) in Patients With Malignancy
118,A Cohort Study on the Immunogenicity and Safety of the Inactivated SARS-Cov-2 Vaccine (BBIBP-Corv) in Patients With Breast Cancer; Does Trastuzumab Interfere With the Outcome?
119,Sex Differences and COVID-19
120,Sex Differences in Vaccine-Induced Humoral Immunity
121,Side Effects of COVID-19 Inactivated Virus vs. Adenoviral Vector Vaccines: Experience of Algerian Healthcare Workers
122,WHO Coronavirus (COVID-19) Dashboard With Vaccination Data
123,Quarantine alone or in combination with other public health measures to control COVID-19: a rapid review
124,"Covid-19: Unvaccinated face 11 times risk of death from delta variant, CDC data show"
125,"Features, Evaluation, and Treatment of Coronavirus (COVID-19)"
126,"Four months into the COVID-19 pandemic, Sweden's prized herd immunity is nowhere in sight"
127,"Coronavirus disease (COVID-19): Herd immunity, lockdowns and COVID-19. Quest answers"
128,"Covid-19: Herd immunity is ""unethical and unachievable, "" say experts after report of 5% seroprevalence in Spain"
129,Global public health security and justice for vaccines and therapeutics in the COVID-19 pandemic EClinicalMedicine
130,COVID-19 vaccine tracker and landscape
131,Global prevalence and drivers of dental students' COVID-19 vaccine hesitancy
132,Predictors of willingness to receive COVID-19 vaccine: cross-sectional study of Palestinian dental students
133,COVID-19 vaccine in pregnant and lactating women: a review of existing evidence and practice guidelines
134,COVID-19 Vaccine acceptance of pregnant and lactating women (PLW) in Czechia: an analytical cross-sectional study
135,Hesitant or not? A global survey of potential acceptance of a COVID-19 vaccine
136,Prevalence and drivers of COVID-19 vaccine hesitancy among Czech University Students: national cross-sectional study
137,Low COVID-19 vaccine acceptance is correlated with conspiracy beliefs among university students in Jordan
138,Iads-Score. Universal predictors of dental students' attitudes towards COVID-19 vaccination: machine learning-based approach
139,Reported COVID-19 vaccines side effects among Jordanian population: a cross sectional study
140,"Effects and perceptions following COVID-19 vaccination in Jordan: a randomised, cross-sectional study implementing machine learning for predicting severity of side effects"
141,Effects reported by Jordanian healthcare workers who received COVID-19 vaccines
142,Evaluation of side effects associated with COVID-19 vaccines in Saudi Arabia
143,"Adrees AO, Side. effects and perceptions following Sinopharm COVID-19 vaccination"
144,Prevalence of COVID-19 vaccine side effects among healthcare workers in the Czech Republic
145,Effects of mRNA-based and viral vector-based COVID-19 vaccines among German healthcare workers
146,Effects of mRNA-based COVID-19 vaccine: nationwide phase iv study among healthcare workers in Slovakia
147,Effects of mRNA-based COVID-19 vaccines among young adults
148,Years Old): an independent post-marketing study
149,Self-reported adverse events of COVID-19 vaccines in Polish healthcare workers and medical students. Cross-sectional study and pooled analysis of CoVaST project results in central Europe
150,Prevalence and risk factors of CoronaVac side effects: an independent crosssectional study among healthcare workers in Turkey
151,"COVID-19 vaccine access in Africa: global distribution, vaccine platforms, and challenges ahead"
152,Algeria's preparedness for Omicron variant and for the fourth wave of COVID-19
153,Algeria's response to COVID-19: an ongoing journey
154,"Covid-19: Algeria receives US donation of 604,800 doses of J&J vaccine"
155,Coronavirus Pandemic (COVID-19)
156,The strengthening the reporting of observational studies in epidemiology (STROBE) statement: guidelines for reporting observational studies
157,Questionnaire sur les effets secondaires des vaccins anti-COVID-19 chez le staff médical en Algérie −19 . Google Forms
158,Epi Info TM for Windows
159,COVID-19 Vaccines Safety Tracking (CoVaST): protocol of a multi-center prospective cohort study for active surveillance of COVID-19 vaccines' side effects
160,World Medical Association declaration of Helsinki: Ethical principles for medical research involving human subjects
161,Available online at
162,Potential adverse effects of COVID19 vaccines among Iraqi population; a comparison between the three available vaccines in Iraq; a retrospective cross-sectional study
163,Unfolding the mild to moderate shortterm side effects of four COVID-19 vaccines used in Bahrain: a cross-sectional study
164,Which type of the promising COVID-19 vaccines produces minimal adverse effects? A retrospective crosssectional study
165,Qualitative assessment of early adverse effects of Pfizer-BioNTech and Sinopharm COVID-19 vaccines by telephone interviews
166,SARS-CoV-2 Post vaccinated adverse effects and efficacy in the Egyptian population
167,Side effects after COVID-19 vaccinations among residents of Poland
168,Abdel-Moneim AS. BNT162b2 and ChAdOx1 SARS-CoV-2 post-vaccination side-effects among Saudi vaccinees
169,Adverse events following immunization associated with the first and second doses of the ChAdOx1 nCoV-19 vaccine among healthcare workers in Korea
170,Adverse effects of the COVID-19 vaccine reported by lecturers and staff of Kabul University of medical sciences
171,COVID-19 vaccine: side effects after the first dose of the Oxford AstraZeneca vaccine among health professionals in low-income country: Ethiopia
172,Reported adverse effects and attitudes among Arab populations following COVID-19 vaccination: a large-scale multinational study implementing machine learning tools in predicting post-vaccination adverse effects based on predisposing factors
173,Side effects and immunogenicity following administration of the Sputnik V COVID-19 vaccine in health care workers in Iran
174,"Differences and disparities in seasonal influenza vaccine, acceptance, adverse reactions, and coverage by age, sex, gender, and race"
175,Short-term reactogenicity and gender effect of anthrax vaccine: analysis of a 1967-1972 study and review of the 1955-2005 medical literature
176,Sex and Gender Differences in the Outcomes of Vaccination over the Life Course
177,The gender impact assessment among healthcare workers in the SARS-CoV-2 vaccination-an analysis of serological response and side effects
178,Vaccine side-effects and SARS-CoV-2 infection after vaccination in users of the COVID symptom study app in the UK: a prospective observational study
179,Safety of ChAdOx1 nCoV-19 vaccine: independent evidence from two EU States
180,"Prevalence of COVID-19 vaccines (Sputnik V, AZD-1222, and Covaxin) side effects among healthcare workers in Birjand city"
181,Conflict of Interest: The authors declare that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest
182,Immune response elicited from heterologous SARS-CoV-2 vaccination: Sinovac 1 (CoronaVac) followed by AstraZeneca (Vaxzevria) 2 3 Running Title: Heterologous prime-boost with CoronaVac-AZD1222
183,Vaccines for 9
184,COVID-19: Where do we stand in 2021?
185,"Guangdong Province International Scientific and Technological Cooperation Projects (2020A0505100063) (CKPM), the National Research Foundation of Korea (NRF) grant funded through the Korea government"
186,Clinical features of patients infected with 2019 novel coronavirus in Wuhan
187,Clinical Characteristics of Coronavirus Disease 2019 in China
188,Neutralizing Antibodies Correlate with Protection from SARS-CoV-2 in Humans during a Fishery Vessel Outbreak with a High Attack Rate
189,Neutralizing antibody levels are highly predictive of immune protection from symptomatic SARS-CoV-2 infection
190,Immune Correlates of Protection by mRNA-1273
191,A neutralizing human antibody binds to the N-terminal domain of the Spike protein of SARS-CoV-2
192,Extremely potent human monoclonal antibodies from COVID-19 convalescent patients
193,Dimeric Fcγ Receptor Enzyme-Linked Immunosorbent Assay To Study HIV-Specific Antibodies: A New Look into Breadth of Fcγ Receptor Antibodies Induced by the RV144 Vaccine Trial
194,Subtle immunological differences in mRNA-1273 and BNT162b2 COVID-19 vaccine induced Fc-functional profiles
195,Alter G. (2021) Fab and Fc contribute to maximal protection against SARS-CoV-2 following NVX-CoV2373 subunit vaccine with Matrix-M vaccination
196,Correlates of protection against SARS-CoV-2 in rhesus macaques
197,SARS-CoV-2 variants of concern partially escape humoral but not T-cell responses in COVID-19 convalescent donors and vaccinees
198,CD8+ T cells specific for an immunodominant SARS-CoV-2 nucleocapsid epitope display high naive precursor frequency and TCR promiscuity
199,Differential contributions of central and effector memory T cells to recall responses
200,Cryo-EM structure of the 2019-nCoV spike in the prefusion conformation
201,"2021) Safety, tolerability, and immunogenicity of an inactivated SARS-CoV-2 vaccine in healthy adults aged 18-59 years: a randomised, double-blind, placebo-controlled, phase 1/2 clinical trial"
202,Comparative immunogenicity of mRNA and inactivated vaccines against COVID-19. Lancet Microbe. Epub ahead of print
203,Title Page: Heterologous prime-boost immunization with CoronaVac and Convidecia
204,An interactive web-based dashboard to track COVID-19 in real time
205,WHO coronavirus (COVID-19) dashboard. 2021
206,Clinical Characteristics of Coronavirus Disease
207,response bottleneck of COVID-19 vaccine candidates
208,Novel prime-boost vaccine strategies against HIV-1. Expert review of vaccines
209,Over 1.8 bln doses of COVID-19 vaccines administered in China
210,VACCINES CANDIDATES BY TRIAL PHASE. 2021
211,WHO International Standard for anti-SARS-CoV-2 immunoglobulin
212,Intensified antibody response elicited by boost suggests immune memory in individuals administered two doses of SARS-CoV-2 inactivated vaccine
213,Comparative immunogenicity of mRNA and inactivated vaccines against COVID-19. The Lancet Microbe
214,Neutralisation of SARS-CoV-2 lineage P.1 by antibodies elicited through natural SARS-CoV-2 infection or vaccination with an inactivated SARS-CoV-2 vaccine: an immunological study. The Lancet Microbe
215,Effectiveness of CoronaVac among healthcare All rights reserved. No reuse allowed without permission. perpetuity
216,"doi: medRxiv preprint workers in the setting of high SARS-CoV-2 Gamma variant transmission in Manaus, Brazil: A test-negative case-control study"
217,"Immunogenicity and safety ofa third dose, and immune persistence of CoronaVac vaccine in healthy adultsaged 18-59 years: interim results from a double-blind, randomized,placebo-controlled phase 2 clinical trial. medRxiv"
218,Prime-boost vaccine strategy against viral infections: Mechanisms and benefits
219,The prime-boost strategy: exciting prospects for improved vaccination
220,Estimating the early impact of vaccination against COVID-19 on deaths among elderly people in Brazil: Analyses of routinely-collected data on vaccine coverage and mortality
221,Safety and efficacy of an rAd26 and rAd5 vector-based heterologous prime-boost COVID-19 vaccine: an interim analysis of a randomised controlled phase 3 trial in Russia
222,"Safety, reactogenicity, and immunogenicity of All rights reserved. No reuse allowed without permission. perpetuity"
223,"preprint (which was not certified by peer review) is the author/funder, who has granted medRxiv a license to display the preprint in The copyright holder for this this version posted"
224,Heterologous ChAdOx1 nCoV-19 and mRNA-1273
225,The New England journal of medicine
226,"BNT162b2 COVID-19 vaccine and correlates of humoral immune responses and dynamics: a prospective, single-centre, longitudinal cohort study in health-care workers. 2021. received. *A seropositivity of neutralizing antibody against SARS-CoV-2 before receiving a boost vaccination"
227,or GMFI (95% CI). n= the number of participants included the intervention modified intention-to-treat cohort. The P values are the results of comparison between the two treatment groups
228,"Department of Health, The Government of the Hong Kong Special 25 Administrative Region"
229,"Guillain-Barre syndrome, influenza, and influenza vaccination: 405 the epidemiologic evidence"
230,A collaborative approach to investigating the risk of 407 thrombocytopenic purpura after measles-mumps-rubella vaccination in England and Denmark
231,"Vaccine hesitancy, vaccine refusal and the anti-vaccine 410 movement: influence, impact and implications"
232,Efficacy and Safety of the mRNA
233,CoV-2 Vaccine
234,Safety and efficacy of the ChAdOx1 nCoV-19 415 vaccine (AZD1222) against SARS-CoV-2: an interim analysis of four randomised
235,"First-dose ChAdOx1 and BNT162b2 COVID-19 418 vaccines and thrombocytopenic, thromboembolic and hemorrhagic events in Scotland"
236,Bell's palsy following vaccination with mRNA 421 (BNT162b2) and inactivated (CoronaVac) SARS-CoV-2 vaccines: a case series and nested case-422 control study
237,Case of Guillain-Barré syndrome following COVID-19 424 vaccine
238,Barré Syndrome following ChAdOx1
239,S/nCoV-19 Vaccine
240,"Guillain-Barré syndrome following the first dose of 428 SARS-CoV-2 vaccine: A temporal occurrence, not a causal association"
241,Exacerbating Guillain-Barré Syndrome Eight Days after Vector-Based
242,Cutaneous reactions reported after Moderna 432 and Pfizer COVID-19 vaccination: A registry-based study of 414 cases
243,Immune-Mediated Disease Flares or New-Onset 437 Disease in 27 Subjects Following mRNA/DNA SARS-CoV-2 Vaccination
244,Prevention of Dabigatran-Related Gastrointestinal 440
245,Bleeding With Gastroprotective Agents: A Population-Based Study
246,Kawasaki disease and 13-valent pneumococcal conjugate 557 vaccination among young children: A self-controlled risk interval and cohort study with null results
247,The clinical and laboratory manifestations profile 560 of antiphospholipid syndrome among Saudi Arabia population: Examining the applicability of 561 Sapporo criteria
248,Population-based incidence and prevalence of systemic 563 lupus erythematosus: the Michigan Lupus Epidemiology and Surveillance program
249,Risk of Systemic Lupus Erythematosus in Patients With Anti-566 phospholipid Syndrome: A Population-Based Study
250,The epidemiology of infectious 568 gastroenteritis related reactive arthritis in U.S. military personnel: a case-control study
251,Reactive Arthritis A006. 29 October
252,Background rates of Adverse Events of Special Interest for monitoring COVID-19 vaccines
253,Non-alcoholic fatty liver disease among patients with sleep 575 disorders: a Nationwide study of Taiwan
254,Serum anti-Spike antibody titers before and after heterologous booster with mRNA- 1273 SARS-CoV-2 vaccine following two doses of inactivated whole-virus CoronaVac vaccine
255,Waning Immune Humoral Response to BNT162b2
256,Covid-19 Vaccine over 6 Months
257,Effect of Delta variant on viral burden and vaccine effectiveness against new SARS-CoV-2 infections in the UK
258,Effectiveness of mRNA BNT162b2 COVID-19 vaccine up to 6 months in a large integrated health system in the USA: a retrospective cohort study
259,Waning of BNT162b2 Vaccine Protection against SARS-CoV-2 Infection in Qatar
260,Neutralization of SARS-CoV-2 Omicron variant by sera from BNT162b2 or Coronavac vaccine recipients
261,SARS-CoV-2 variants of concern and variants under investigation in England Technical briefing 31 10
262,Immune responses against SARS-CoV-2 variants after heterologous and homologous ChAdOx1 nCoV
263,/BNT162b2 vaccination
264,A nationwide cohort study
265,Heterologous SARS-CoV-2 Booster Vaccinations -Preliminary Report
266,"Safety and immunogenicity of seven COVID-19 vaccines as a third dose (booster) following two doses of ChAdOx1 nCov-19 or BNT162b2 in the UK (COV-BOOST): a blinded, multicentre, randomised, controlled, phase 2 trial"
267,"Safety and immunogenicity of the ChAdOx1 nCoV-19 vaccine against SARS-CoV-2: a preliminary report of a phase 1/2, singleblind, randomised controlled trial"
268,World Health Organization. WHO recommendation of Sinovac COVID-19 vaccine (Vero Cell
269,"Efficacy and safety of an inactivated wholevirion SARS-CoV-2 vaccine (CoronaVac): interim results of a double-blind, randomised, placebo-controlled, phase 3 trial in Turkey"
270,Effectiveness of an Inactivated SARS-CoV-2 Vaccine in Chile
271,"Effectiveness of CoronaVac among healthcare workers in the setting of high SARS-CoV-2 Gamma variant transmission in Manaus, Brazil: A test-negative case-control study"
272,Comparison of the immunogenicity of BNT162b2 and CoronaVac COVID-19 vaccines in Hong Kong
273,seropositivity after rollout of CoronaVac and BNT162b2 COVID-19 vaccines in Chile: a sentinel surveillance study
274,Comparative immunogenicity of mRNA and inactivated vaccines against COVID-19
275,"Immunogenicity and safety of a third dose of CoronaVac, and immune persistence of a two-dose schedule"
276,Effectiveness of the CoronaVac vaccine in older adults during a gamma variant associated epidemic of covid-19 in Brazil: test negative case-control study
277,WHO. Meeting of the Strategic Advisory Group of Experts (SAGE) on Immunization 4-7
278,Indonesia: Coronavirus Pandemic Country Profile
279,"Pandemic inequity in a megacity: a multilevel analysis of individual, community and health care vulnerability risks for COVID-19 mortality in Jakarta"
280,27 WHO. EXPERT COMMITTEE ON BIOLOGICAL STANDARDIZATION. Establishment of the WHO International Standard and Reference Panel for anti-SARS-CoV-2 antibody
281,Moderna announces preliminary booster data and updates strategy to address Omikron variant. News release on DSecember 12th
282,Booster-Data-and-Updates-Strategy-to-Address-Omicron-Variant-2021
283,Safety and immunogenicity of SARS-CoV-2 variant mRNA vaccine boosters in healthy adults: an interim analysis
284,Association of SARS-CoV-2 Seropositive Antibody Test With Risk of Future Infection
285,Correlates of protection against symptomatic and asymptomatic SARS-CoV-2 infection
286,COVID-19 vaccine BNT162b1 elicits human antibody and TH1 T cell responses
287,Serological study of CoronaVac vaccine and booster doses in Chile: immunogenicity 1 and persistence of anti-SARS-CoV-2 S antibodies 2 3 Short title: Serological Study of CoronaVac vaccine and heterologous boosters. 4 5
288,Effectiveness of 551 an Inactivated SARS-CoV-2 Vaccine in Chile
289,"Dynamics of 553 antibody response to BNT162b2 vaccine after six months: a longitudinal prospective study. and Salvador, Natalia and Franco"
290,Randomized 597 Immunogenicity and Safety Study of Heterologous Versus Homologous COVID-19 Booster 598 Vaccination in Previous Recipients of Two Doses Of Coronavac COVID-19 Vaccine
291,3@A:* =4*58>?>8A:* >4*538?@@A:* 9@*534?;6A:* 3-412-! @@*5@8?=9A:* ;3*54@?@=A:* 9@*5=4?>9A:* 46*5=8?>6A:*
292,"Nadthanan Pinyosukhee 1 , Rattanawadee Wichajarn 1 Public Health 32"
293,an Inactivated SARS-CoV-2 Vaccine
294,Effectiveness of COVID-19 vaccines against the B.1.617.2 variant
295,Heterologous Prime-Boost Vaccination
296,"Safety and immunogenicity of an rAd26 and rAd5 vector-based 587 heterologous prime-boost COVID-19 vaccine in two formulations: two open, non-588 randomised phase 1/2 studies from Russia"
297,Arvind Subramanian write: Why we need to count 590 the Covid dead
